Category,Value
<<<<<<< HEAD
Type,Diesel 72t
Daily Driving Distance,507.56137575811624
Annual Kilometers Driven,111663.50266678557
Public Fast Charging Ratio,1
Daily Range,2164.7759697758133
Daily Battery Capacity,800
Daily Time,7.35
Charger Cost per km,4.619415652990463
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,4.922094389606538
Road Tax per km,0.07741114861670166
Truck Financing Cost per km,0.3867193859928511
Battery Financing Cost per km,0.0
Total Cost per km,10.908229428589852
Total Cost per month,101504.25882410431
Total Cost per year,1218051.1058892517
TCO,11482975.66462585
TCO per km,6.427220729236466
Battery Replacements,0.0
Battery Replacement Cost,0
Lifespan,16.0
=======
Type,Nomadic (diesel)
Daily Driving Distance,506.35916585208366
Annual Kilometers Driven,111399.0164874584
Public Fast Charging Ratio,1
Daily Range,2164.7759697758133
Daily Battery Capacity,800
Daily Time,7.322727272727272
Charger Cost per km,0
Maintenance Cost per km,0.9799999999999998
Driver Cost per km,4.915473379081832
Road Tax per km,0.07759493999637927
Truck Financing Cost per km,0.7231056115257384
Battery Financing Cost per km,0.0
Total Cost per km,11.237994643598034
Total Cost per month,104325.12921567888
Total Cost per year,1251901.5505881466
TCO,6619236.548807299
TCO per km,8.488452152220251
Battery Replacements,0.0
Battery Replacement Cost,0
TCO_financing_frac,0.0655853276324194
TCO_maintenance_frac,0.08888552385059623
TCO_driver_frac,0.4458310472177032
TCO_battery_frac,0.0
TCO_Charging_frac,0.0
TCO_diesel_frac,0.41897875530581774
TCO_electricity_frac,0.0
TCO_residual_frac,-0.01928065400653662
>>>>>>> a3e735532e2914bcc313a076f207462e780f45b4
